<2015-10-1 2:39:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:39:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:39:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:39:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:40:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:40:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:40:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:40:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:40:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:40:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:41:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:41:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:41:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:41:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:41:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:41:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:42:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:42:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:42:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:42:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:42:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:42:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:43:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:43:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:43:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:43:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:43:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:43:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:44:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:44:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:44:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:44:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:44:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:44:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:45:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:45:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:45:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:45:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:45:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:45:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:46:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:46:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:46:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:46:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:46:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:46:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:47:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:47:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:47:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:47:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:47:44> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:47:50> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:48:2> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:48:14> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:48:20> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
<2015-10-1 2:48:32> [../LConnector.cpp][LConnector::ThreadDoing][290]m_Socket.Recv Failed, SystemErrorcode:104, errorCode:0
